athlete_id,rank,name,country,round,round_score,round_rank,ascent,ascent_top,ascent_top_tries,ascent_zone,ascent_zone_tries,sex,event_id,starting_group,event,location
1256,14,Uznik Nicolai,AUT,semi-final,1T3z 5 10,14,2,FALSE,4,FALSE,4,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1256,14,Uznik Nicolai,AUT,semi-final,1T3z 5 10,14,3,FALSE,NA,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
1256,14,Uznik Nicolai,AUT,semi-final,1T3z 5 10,14,4,FALSE,3,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
523,15,Mawem Mickael,FRA,qualification,4T4z 5 5,15,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
523,15,Mawem Mickael,FRA,qualification,4T4z 5 5,15,2,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
523,15,Mawem Mickael,FRA,qualification,4T4z 5 5,15,3,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
523,15,Mawem Mickael,FRA,qualification,4T4z 5 5,15,4,FALSE,6,FALSE,6,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
523,15,Mawem Mickael,FRA,qualification,4T4z 5 5,15,5,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
523,15,Mawem Mickael,FRA,semi-final,1T2z 2 3,15,1,TRUE,2,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
523,15,Mawem Mickael,FRA,semi-final,1T2z 2 3,15,2,FALSE,5,FALSE,5,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
523,15,Mawem Mickael,FRA,semi-final,1T2z 2 3,15,3,FALSE,3,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
523,15,Mawem Mickael,FRA,semi-final,1T2z 2 3,15,4,FALSE,4,FALSE,4,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13987,16,KAYOTANI Ritsu,JPN,qualification,5T5z 11 10,3,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13987,16,KAYOTANI Ritsu,JPN,qualification,5T5z 11 10,3,2,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13987,16,KAYOTANI Ritsu,JPN,qualification,5T5z 11 10,3,3,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13987,16,KAYOTANI Ritsu,JPN,qualification,5T5z 11 10,3,4,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13987,16,KAYOTANI Ritsu,JPN,qualification,5T5z 11 10,3,5,TRUE,5,TRUE,4,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13987,16,KAYOTANI Ritsu,JPN,semi-final,0T3z 0 7,16,1,FALSE,11,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13987,16,KAYOTANI Ritsu,JPN,semi-final,0T3z 0 7,16,2,FALSE,5,FALSE,5,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13987,16,KAYOTANI Ritsu,JPN,semi-final,0T3z 0 7,16,3,FALSE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13987,16,KAYOTANI Ritsu,JPN,semi-final,0T3z 0 7,16,4,FALSE,4,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2348,17,Fujiwaki Yuji,JPN,qualification,2T5z 3 9,17,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2348,17,Fujiwaki Yuji,JPN,qualification,2T5z 3 9,17,2,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
